# 사람이 직접 들어보고 확정한 라벨 — 수집 중 버튼 라벨보다 우선한다.
#
# 왜 별도 파일인가: 세션의 labels.csv 는 수집 중 현장에서 찍힌 것이라 (a) 놓친
# 사이렌이 unlabeled 로 남고 (b) grace 소급 라벨이 엉뚱한 클립에 붙을 수 있다.
# 실제로 050 은 not_siren 으로 찍혔지만 청취 결과 사이렌이었다 — 그대로 썼으면
# 모델에게 진짜 사이렌을 무시하라고 가르쳤을 것이다. 이 파일이 정본이다.
#
# t_start/t_end: 클립 안에서 사이렌이 실제로 들리는 구간(초). 비우면 검출기가
# 잡은 구간을 쓴다. 구간을 적어 주면 앞뒤 소음이 사이렌 라벨로 학습되지 않는다.
#   ※ 검출기 추정 구간은 프리롤 때문에 대개 실제보다 앞에서 시작한다 — 사람 구간이
#     있으면 항상 그쪽이 맞다.
# label: ambulance / police / fire / unknown(사이렌은 맞지만 차종 모름)
#        / not_siren / exclude(판단 불가 — 학습·평가 어디에도 쓰지 않는다)
#
# 이 파일은 깃에 들어간다(오디오는 안 들어간다) — 사람의 청취 노동이 담긴 정본이라
# 데이터 폴더를 지워도 살아남아야 한다.
session,clip,label,t_start,t_end,note
20260811_152229_서울역사박물관,clips/046_auto.wav,unknown,0,25,청취확정 구간
20260811_152229_서울역사박물관,clips/047_auto.wav,unknown,9.9,13,청취확정 구간 (3.1초 — 창보다 짧음)
20260811_152229_서울역사박물관,clips/049_auto.wav,ambulance,3,16,청취확정 구간
20260811_152229_서울역사박물관,clips/050_auto.wav,unknown,9,13,청취확인 사이렌 (수집 중엔 not_siren 오라벨)
20260811_152229_서울역사박물관,clips/052_auto.wav,exclude,,,청취 판단 불가 — 제외
20260811_152229_서울역사박물관,clips/053_auto.wav,fire,8,35,청취확정 구간
20260811_152229_서울역사박물관,clips/054_auto.wav,ambulance,3,28,청취확정 구간
20260812_222522_안국역4번출구,clips/000_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/001_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/002_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/003_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/004_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/005_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/006_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/007_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/008_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/009_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/010_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_222522_안국역4번출구,clips/011_auto.wav,not_siren,,,청취확인 오검출 (신모델 early2 만 발화 · 사이렌 없었음)
20260812_232539_안국역4번출구,clips/001_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/002_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/003_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/004_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/005_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/006_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/007_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/008_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/009_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/010_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/011_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/012_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_232539_안국역4번출구,clips/013_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/003_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/004_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/005_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/006_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/007_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/008_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/009_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/010_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/011_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/012_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/013_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/014_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/015_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/016_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/018_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/019_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/020_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/021_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/022_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/023_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/024_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/025_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/026_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/027_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/028_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/029_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/030_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/031_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/032_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/033_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/034_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/035_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260812_234442_안국역4번출구,clips/037_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/001_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/002_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/003_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/004_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/005_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/006_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/008_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/009_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/010_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/013_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/014_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/018_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/019_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/021_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/022_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/023_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_003334_안국역4번출구,clips/024_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/001_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/002_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/003_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/004_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/005_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/006_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/007_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/008_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/009_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/011_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/012_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/013_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/014_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/017_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
20260813_004440_안국역4번출구,clips/018_auto.wav,not_siren,,,청취확인 — 사이렌 라벨 외 전부 노이즈(사용자 일괄 확인)
